역번호,주소,Latitude,Longitude,한 글,로 마 자
101,동구 옥천로 지하162 (판암동),36.3156701,127.4655267,판암(대전대),Panam(Daejeon Univ.)
102,동구 옥천로 지하 70 (판암동),36.3102688,127.4678887,신 흥,Sinheung
103,동구 계족로 지하 176 (대동),36.3290679,127.4451072,대동(우송대),Dae-dong(Woosong Univ.)
104,동구 중앙로 지하 218 (중동),36.3317946,127.4345659,대 전,Daejeon
105,중구 중앙로 지하 145 (은행동),36.3277602,127.4272653,중앙로,Jungangno
106,중구 중앙로 지하 71 (선화동),,,중구청,Jung-gu Office
107,중구 계룡로 지하 889 (용두동),36.330677,127.402746,서대전네거리,Seodaejeonnegeori
108,중구 계룡로 지하 793 (오류동),36.3251991,127.4052143,오 룡,Oryong
109,서구 계룡로 지하 644 (용문동),36.3379365,127.3950181,용 문,Yongmun
110,서구 문정로48번길 지하 19 (탄방동),36.3449499,127.3842533,탄 방,Tanbang
111,서구 둔산중로 지하 55 (둔산동),36.3527442,127.3866967,시 청,City Hall
112,서구 한밭대로 지하 744 (둔산동),36.3575356,127.3755787,정부청사,Government Complex Daejeon
113,서구 한밭대로 지하 666 (갈마동),36.3575356,127.3755787,갈 마,Galma
114,서구 한밭대로 지하 595 (월평동),36.3571613,127.3656269,월 평(한국과학기술원),Wolpyeong(KAIST)
115,서구 갑천도시고속도로 지하1833 (월평동),36.338371,127.3551024,갑 천,Gapcheon
116,유성구 계룡로 지하 97 (봉명동),36.3543229,127.3395315,"유성온천(충남대,목원대)","Yuseong Spa(Chungnam Nat'l Univ., Mokwon Univ.)"
117,유성구 유성대로 703 (구암동),36.3583067,127.3086239,구 암,Guam
118,유성구 현충원로 지하 455 (구암동),36.3543145,127.3160159,현충원(한밭대),National Cemetery(Hanbat Nat'l Univ.)
119,유성구 한밭대로 지하 155 (노은동),36.3705589,127.3294081,월드컵경기장(노은도매시장),World Cup Stadium(Noeun Wholesale Market)
120,유성구 노은로 지하 161 (지족동),36.3680877,127.3190151,노 은,Noeun
121,유성구 노은로 273 (지족동),36.384157,127.3195443,지족(침신대),Jijok(Chimsin Univ.)
122,유성구 북유성대로 지하 303 (반석동),36.3941604,127.2991757,반 석(칠성대),Banseok(Chilsungdae)